episode,avg_reward,avg_score,exploration_rate,memory_size
10,-21.453016508370656,0.0,0.09511101304657718,730
20,-22.80203994587066,0.0,0.09046104802746176,1460
30,-18.664344633370643,0.0,0.0860384191914696,2190
40,-20.110047758370648,0.0,0.08183201210226744,2920
50,-20.717079008370657,0.0,0.07783125570686422,3650
60,-22.32762588337066,0.0,0.07402609576967048,4380
70,-20.983680570870654,0.0,0.07040696960536302,5110
80,-19.86766494587065,0.0,0.06696478204705644,5840
90,-20.47821182087065,0.0,0.06369088258938783,6570
100,-21.512000883370657,0.0,0.06057704364907282,7300
110,-22.925868070870667,0.0,0.05761543988830041,8030
120,-25.501258695870668,0.0,0.05479862854900423,8760
130,-22.67957900837066,0.0,0.052119530748588785,9490
140,-22.28524307087066,0.0,0.049571413690105086,10000
150,-20.45672744587065,0.0,0.04714787374216859,10000
160,-19.935047758370647,0.0,0.04484282034609772,10000
170,-18.31808161266149,0.0,0.042650460709830175,10000
180,-18.243641508370647,0.0,0.04056528525015186,10000
190,-20.24422744587065,0.0,0.03858205374665318,10000
200,-21.417274320870657,0.0,0.03669578217261672,10000
210,-18.707899320870645,0.0,0.03490173016974103,10000
220,-15.734657133370641,0.0,0.03319538913522355,10000
230,-19.451454008370646,0.0,0.03157247089126454,10000
240,-19.479188383370644,0.0,0.030028896908517396,10000
250,-18.52918838337064,0.0,0.028560788056403188,10000
260,-22.316493070870656,0.0,0.027164454854530895,10000
270,-19.623914945870652,0.0,0.025836388200724456,10000
280,-21.68036025837066,0.0,0.024573250552355364,10000
290,-19.94325088337065,0.0,0.02337186753881881,10000
300,-21.17371963337066,0.0,0.022229219984074695,10000
310,-19.449891508370648,0.0,0.021142436319205628,10000
320,-20.32547744587065,0.0,0.02010878536592394,10000
330,-19.50184463337065,0.0,0.01912566947289213,10000
340,-20.441102445870648,0.0,0.018190617987607665,10000
350,-19.423133695870646,0.0,0.017301281047446545,10000
360,-19.525672758370646,0.0,0.016455423674261872,10000
370,-20.12176650837065,0.0,0.015650920157696768,10000
380,-21.314539945870653,0.0,0.014885748713096352,10000
390,-20.106922758370647,0.0,0.014157986400593769,10000
400,-20.87782119587065,0.0,0.013465804292601361,10000
410,-20.662782133370655,0.0,0.012807462877562634,10000
420,-18.778016508370644,0.0,0.012181307688414125,10000
430,-21.834657133370662,0.0,0.01158576514477127,10000
440,-19.398524320870646,0.0,0.011019338598389194,10000
450,-20.34520400837065,0.0,0.010480604571960463,10000
460,-20.21766494587065,0.0,0.00996820918179748,10000
470,-19.99930557087065,0.0,0.009480864735409508,10000
480,-21.267079008370658,0.0,0.009017346495423673,10000
10,-19.28017796716189,0.0,0.09511101304657718,742
20,-21.512977445870657,0.0,0.09046104802746176,1472
30,-22.814930570870665,0.0,0.0860384191914696,2202
40,-21.63075088337066,0.0,0.08183201210226744,2932
50,-21.206167550161503,0.0,0.07783125570686422,3621
60,-22.302039945870657,0.0,0.07402609576967048,4351
70,-22.50672744587066,0.0,0.07040696960536302,5081
80,-23.68036025837067,0.0,0.06696478204705644,5811
90,-20.375477445870654,0.0,0.06369088258938783,6541
100,-19.56590713337065,0.0,0.06057704364907282,7271
110,-22.478211820870662,0.0,0.05761543988830041,8001
120,-20.579383695870657,0.0,0.05479862854900423,8731
130,-22.00828994587066,0.0,0.052119530748588785,9461
140,-22.450282133370656,0.0,0.049571413690105086,10000
150,-22.698914945870662,0.0,0.04714787374216859,10000
160,-19.47606338337065,0.0,0.04484282034609772,10000
170,-22.863563383370657,0.0,0.042650460709830175,10000
180,-22.805360258370662,0.0,0.04056528525015186,10000
190,-20.968250883370658,0.0,0.03858205374665318,10000
200,-19.761024320870654,0.0,0.03669578217261672,10000
210,-19.329579008370647,0.0,0.03490173016974103,10000
220,-21.453993070870656,0.0,0.03319538913522355,10000
230,-23.469227445870665,0.0,0.03157247089126454,10000
240,-22.017664945870656,0.0,0.030028896908517396,10000
250,-22.131532133370662,0.0,0.028560788056403188,10000
260,-20.437782133370654,0.0,0.027164454854530895,10000
270,-22.463758695870663,0.0,0.025836388200724456,10000
280,-23.95672744587067,0.0,0.024573250552355364,10000
290,-20.930360258370655,0.0,0.02337186753881881,10000
300,-20.774696195870654,0.0,0.022229219984074695,10000
310,-19.650086820870655,0.0,0.021142436319205628,10000
320,-17.683485258370652,0.0,0.02010878536592394,10000
330,-18.33739150837065,0.0,0.01912566947289213,10000
340,-21.52625869587066,0.0,0.018190617987607665,10000
350,-19.352430570870656,0.0,0.017301281047446545,10000
360,-18.240321195870642,0.0,0.016455423674261872,10000
370,-21.33250869587066,0.0,0.015650920157696768,10000
380,-22.558094633370665,0.0,0.014885748713096352,10000
390,-22.867860258370662,0.0,0.014157986400593769,10000
400,-22.992860258370666,0.0,0.013465804292601361,10000
410,-23.22511286266151,0.0,0.012807462877562634,10000
420,-23.161219633370663,0.0,0.012181307688414125,10000
430,-20.524891508370654,0.0,0.01158576514477127,10000
440,-20.314344633370656,0.0,0.011019338598389194,10000
450,-18.63387588337065,0.0,0.010480604571960463,10000
460,-18.53075088337065,0.0,0.00996820918179748,10000
470,-19.91375869587065,0.0,0.009480864735409508,10000
480,-21.093446195870655,0.0,0.009017346495423673,10000
490,-17.593055570870646,0.0,0.00857648960171748,10000
500,-19.925868070870656,0.0,0.008157186144027846,10000
510,-20.331141508370656,0.0,0.007758382377679909,10000
520,-20.399305570870652,0.0,0.007379076075438483,10000
530,-19.58953994587065,0.0,0.007018314008827151,10000
540,-21.41864150837066,0.0,0.006675189552585345,10000
550,-20.53700088337066,0.0,0.0063488404062432046,10000
560,-22.798719633370666,0.0,0.006038446427088338,10000
570,-23.634461820870666,0.0,0.005743227569078564,10000
580,-17.29640192516149,0.0,0.0054624419225209305,10000
590,-22.73348525837066,0.0,0.005195383849590585,10000
600,-18.63211807087065,0.0,0.004941382211003865,10000
610,-20.605555570870653,0.0,0.004699798679389131,10000
620,-22.75614150837066,0.0,0.004470026135116658,10000
630,-22.46532119587066,0.0,0.004251487140556214,10000
640,-20.906532133370654,0.0,0.004043632488927972,10000
650,-20.360633695870654,0.0,0.003845939824099916,10000
660,-18.651063383370648,0.0,0.003657912327863179,10000
670,-20.159461820870654,0.0,0.0034790774713863025,10000
680,-22.851258695870662,0.0,0.0033089858277107536,10000
690,-20.63446182087066,0.0,0.003147209942303365,10000
700,-20.321571195870654,0.0,0.002993343258827328,10000
710,-22.37938369587066,0.0,0.002846999097432098,10000
720,-21.818446195870656,0.0,0.0027078096829945774,10000
730,-24.66317275837067,0.0,0.002575425220869453,10000
740,-24.368446195870668,0.0,0.0024495130178259846,10000
750,-21.262196195870654,0.0,0.002329756645962079,10000
760,-21.93407119587066,0.0,0.002215855147494493,10000
770,-22.694422758370663,0.0,0.0021075222784267393,10000
780,-19.452039945870652,0.0,0.0020044857891939765,10000
790,-19.073133695870652,0.0,0.0019064867404770679,10000
800,-20.541883695870656,0.0,0.0018132788524664082,10000
810,-20.50399307087065,0.0,0.0017246278859401505,10000
820,-20.17723525837065,0.0,0.001640311053601445,10000
830,-23.17899307087066,0.0,0.0015601164601953183,10000
840,-20.923133695870654,0.0,0.0014838425699981676,10000
850,-21.379188383370654,0.0,0.0014112977003416234,10000
860,-21.363368070870656,0.0,0.0013422995398979652,10000
870,-21.841493070870655,0.0,0.001276674690516499,10000
880,-20.885438383370655,0.0,0.0012142582314594963,10000
890,-21.793446195870658,0.0,0.001154893304942579,10000
900,-21.65711807087066,0.0,0.0010984307219379826,10000
910,-22.059071195870658,0.0,0.0010447285872500465,10000
920,-20.466883695870653,0.0,0.0009936519429207132,10000
930,-21.878602445870662,0.0,0.0009450724290688873,10000
940,-21.81844619587066,0.0,0.0008988679613113135,10000
950,-23.707508695870665,0.0,0.0008549224239543057,10000
960,-22.49344619587066,0.0,0.0008131253781852935,10000
970,-24.021961820870665,0.0,0.0007733717845308445,10000
980,-21.73016494587066,0.0,0.0007355617388836784,10000
990,-18.625477445870647,0.0,0.0006996002214352853,10000
1000,-20.903993070870655,0.0,0.0006653968578831972,10000
1010,-20.08836807087065,0.0,0.0006328656923128022,10000
1020,-23.02235244587066,0.0,0.0006019249711829404,10000
1030,-23.083680570870662,0.0,0.0005724969378724124,10000
1040,-19.568055570870655,0.0,0.0005445076372710849,10000
1050,-20.60203994587065,0.0,0.0005178867299245109,10000
1060,-25.30868057087067,0.0,0.0004925673152649935,10000
1070,-21.855164945870662,0.0,0.000468485763484863,10000
1080,-20.330946195870652,0.0,0.00044558155562944476,10000
1090,-22.61297744587066,0.0,0.0004237971315078627,10000
1100,-22.313758695870664,0.0,0.0004030777450394633,10000
1110,-22.40125869587066,0.0,0.000383371326672333,10000
1120,-22.624696195870662,0.0,0.00036462835252815866,10000
1130,-21.494227445870656,0.0,0.00034680171994457644,10000
1140,-22.358680570870657,0.0,0.00032984662910224015,10000
1150,-21.544227445870654,0.0,0.0003137204704391266,10000
1160,-22.79774307087066,0.0,0.0002983827175691409,10000
1170,-20.622743070870655,0.0,0.0002837948254359172,10000
1180,-22.11883682087066,0.0,0.0002699201334458661,10000
1190,-21.53524307087066,0.0,0.0002567237733370362,10000
1200,-18.659852445870648,0.0,0.00024417258155225375,10000
1210,-20.712977445870656,0.0,0.0002322350158963284,10000
1220,-21.202430570870657,0.0,0.0002208810762678775,10000
1230,-20.27430557087065,0.0,0.00021008222926656106,10000
1240,-22.15711807087066,0.0,0.0001998113364862591,10000
1250,-23.88563369587067,0.0,0.00019004258631398615,10000
1260,-22.271180570870662,0.0,0.00018075142906314804,10000
1270,-21.789149320870656,0.0,0.00017191451527812546,10000
1280,-22.226649320870663,0.0,0.00016350963705513783,10000
1290,-22.87938369587066,0.0,0.00015551567223192315,10000
1300,-23.732899320870665,0.0,0.00014791253130597663,10000
1310,-23.847352445870666,0.0,0.00014068110694794998,10000
1320,-19.953993070870652,0.0,0.00013380322598333395,10000
1330,-21.165321195870654,0.0,0.0001272616037217499,10000
1340,-19.823914945870648,0.0,0.00012103980051907692,10000
1350,-18.00516494587064,0.0,0.00011512218046325026,10000
1360,-22.34500869587066,0.0,0.00010949387207990608,10000
1370,-23.581727445870666,0.0,0.00010414073095912201,10000
1380,-21.82157119587066,0.0,9.904930420933138e-05,10000
1390,-18.803993070870643,0.0,9.42067966490811e-05,10000
1400,-21.63446182087066,0.0,8.960103865166998e-05,10000
1410,-22.896961820870658,0.0,8.522045556185851e-05,10000
1420,-21.52352432087066,0.0,8.105403860779177e-05,10000
1430,-22.82157119587066,0.0,7.709131723503456e-05,10000
1440,-20.019227445870655,0.0,7.332233279319193e-05,10000
1450,-23.728993070870665,0.0,6.973761350898752e-05,10000
1460,-23.604774320870668,0.0,6.632815068290472e-05,10000
1470,-23.171961820870667,0.0,6.308537604957086e-05,10000
1480,-19.95203994587065,0.0,6.000114024498962e-05,10000
1490,-21.34618057087066,0.0,5.706769232650716e-05,10000
1500,-21.205555570870658,0.0,5.4277660294044744e-05,10000
1510,-21.04852432087066,0.0,5.162403256364574e-05,10000
1520,-23.261024320870668,0.0,4.910014034677835e-05,10000
1530,-22.18250869587066,0.0,4.669964089111206e-05,10000
1540,-23.683680570870667,0.0,4.441650154065029e-05,10000
1550,-21.046961820870656,0.0,4.224498457516105e-05,10000
1560,-20.54461807087065,0.0,4.017963279080595e-05,10000
1570,-22.574305570870656,0.0,3.821525578573025e-05,10000
1580,-20.91375869587065,0.0,3.634691691614874e-05,10000
1590,-23.27469619587066,0.0,3.45699208901468e-05,10000
1600,-21.685633695870656,0.0,3.287980196801893e-05,10000
1610,-23.05594619587066,0.0,3.127231273949123e-05,10000
1620,-20.873914945870656,0.0,2.9743413449623926e-05,10000
1630,-21.08446182087065,0.0,2.828926184656921e-05,10000
1640,-21.068446195870656,0.0,2.6906203525670824e-05,10000
1650,-20.83836807087065,0.0,2.559076274563939e-05,10000
1660,-21.373524320870654,0.0,2.4339633693723694e-05,10000
1670,-21.043836820870652,0.0,2.314967217792664e-05,10000
1680,-21.426649320870656,0.0,2.201788772538765e-05,10000
1690,-20.60633682087065,0.0,2.094143606707417e-05,10000
1700,-21.951258695870656,0.0,1.9917611989895534e-05,10000
1710,-21.54657119587066,0.0,1.8943842538276165e-05,10000
1720,-22.086414945870658,0.0,1.801768054810288e-05,10000
1730,-21.166493070870654,0.0,1.7136798496796732e-05,10000
